epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1320,0.70875,0.32503,0.92044,1,0.99053,0.995,0.82914,0.78582,0.31764,0.92069,0.0011684,0.0011684,0.0011684
44,1350.02,0.70634,0.32114,0.92061,0.99937,0.9823,0.9905,0.82717,0.79121,0.32087,0.92078,0.0011486,0.0011486,0.0011486
45,1380.89,0.70651,0.32026,0.91936,0.99944,0.9823,0.9905,0.83158,0.77469,0.32935,0.90864,0.0011288,0.0011288,0.0011288
46,1411.12,0.69648,0.31626,0.91779,0.99809,0.9823,0.99045,0.82958,0.77916,0.32876,0.90415,0.001109,0.001109,0.001109
47,1441.38,0.70586,0.31769,0.91697,0.99928,0.9823,0.99031,0.82942,0.78982,0.31364,0.91455,0.0010892,0.0010892,0.0010892
48,1471.39,0.69346,0.31466,0.91494,1,0.99108,0.995,0.82395,0.78137,0.29954,0.91547,0.0010694,0.0010694,0.0010694
49,1501.63,0.70191,0.31486,0.91896,0.99927,0.9823,0.99474,0.82688,0.75834,0.29961,0.90559,0.0010496,0.0010496,0.0010496
50,1532.09,0.69491,0.31127,0.91603,0.99881,0.99115,0.995,0.81841,0.77742,0.29268,0.91183,0.0010298,0.0010298,0.0010298
51,1562.3,0.69026,0.3098,0.91397,0.99944,0.9823,0.99041,0.82773,0.7673,0.31824,0.90784,0.00101,0.00101,0.00101
52,1592.33,0.69031,0.30457,0.91151,1,0.99113,0.995,0.8263,0.76634,0.29553,0.90831,0.0009902,0.0009902,0.0009902
53,1622.39,0.68765,0.30593,0.91421,0.99944,0.9823,0.99031,0.82853,0.76171,0.29927,0.9072,0.0009704,0.0009704,0.0009704
54,1652.71,0.68747,0.30738,0.90909,0.99943,0.9823,0.99491,0.8431,0.76162,0.30586,0.90541,0.0009506,0.0009506,0.0009506
55,1682.74,0.68728,0.30462,0.9127,0.99943,0.9823,0.99027,0.82846,0.772,0.31916,0.92214,0.0009308,0.0009308,0.0009308
56,1712.84,0.67991,0.30381,0.91108,1,0.99065,0.995,0.84073,0.78052,0.30133,0.91064,0.000911,0.000911,0.000911
57,1743.16,0.67473,0.30019,0.9096,1,0.99061,0.995,0.83814,0.76538,0.29265,0.91155,0.0008912,0.0008912,0.0008912
58,1773.38,0.68396,0.30038,0.9098,1,0.99059,0.995,0.8375,0.77125,0.30003,0.91139,0.0008714,0.0008714,0.0008714
59,1803.46,0.67738,0.29932,0.90535,0.99973,0.9823,0.99491,0.83519,0.77818,0.29886,0.91741,0.0008516,0.0008516,0.0008516
60,1833.74,0.67492,0.29632,0.91026,0.99947,0.9823,0.99491,0.84065,0.76298,0.29299,0.91494,0.0008318,0.0008318,0.0008318
61,1863.82,0.67752,0.2982,0.90995,0.99938,0.9823,0.99441,0.83833,0.76241,0.29018,0.91527,0.000812,0.000812,0.000812
62,1894.22,0.67471,0.29549,0.90838,0.99944,0.9823,0.99031,0.83829,0.77022,0.29647,0.91427,0.0007922,0.0007922,0.0007922
63,1924.43,0.67647,0.29846,0.90986,1,0.99059,0.995,0.83157,0.76825,0.2797,0.90908,0.0007724,0.0007724,0.0007724
64,1954.49,0.67678,0.29681,0.90926,1,0.99059,0.995,0.83517,0.75841,0.28777,0.91462,0.0007526,0.0007526,0.0007526
65,1984.64,0.67645,0.29639,0.90957,1,0.99059,0.995,0.84217,0.76835,0.30681,0.90632,0.0007328,0.0007328,0.0007328
66,2014.7,0.67157,0.29296,0.90873,1,0.9906,0.995,0.82907,0.78244,0.3018,0.91659,0.000713,0.000713,0.000713
67,2045.04,0.66406,0.2899,0.90682,1,0.99073,0.995,0.83474,0.771,0.30715,0.91553,0.0006932,0.0006932,0.0006932
68,2075.21,0.66515,0.2874,0.90582,1,0.9906,0.995,0.83334,0.76984,0.29474,0.91959,0.0006734,0.0006734,0.0006734
69,2105.38,0.66617,0.28724,0.90499,0.99944,0.9823,0.99491,0.83502,0.77824,0.29333,0.91155,0.0006536,0.0006536,0.0006536
70,2135.69,0.6583,0.28539,0.90298,0.99944,0.9823,0.99036,0.84112,0.76038,0.31315,0.90503,0.0006338,0.0006338,0.0006338
