epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,110434,0.92015,0.34877,1.00978,0.99955,0.99978,0.99493,0.8021,0.86199,0.25078,0.96923,0.005842,0.005842,0.005842
44,112204,0.91808,0.34659,1.00845,0.9995,0.99978,0.99494,0.8025,0.86161,0.25054,0.96972,0.005743,0.005743,0.005743
45,159319,0.91668,0.34669,1.00745,0.9995,0.99976,0.99494,0.80254,0.86154,0.25039,0.96993,0.005644,0.005644,0.005644
46,161578,0.91786,0.34587,1.00625,0.99949,0.99976,0.99489,0.80245,0.86113,0.25018,0.96983,0.005545,0.005545,0.005545
47,163595,0.91671,0.34648,1.01161,0.99951,0.99976,0.99494,0.80258,0.86106,0.24991,0.97151,0.005446,0.005446,0.005446
48,165381,0.91508,0.34384,1.0025,0.99948,0.99971,0.99492,0.80285,0.86063,0.24942,0.96999,0.005347,0.005347,0.005347
49,167183,0.91467,0.34359,1.00682,0.99951,0.99971,0.99493,0.80296,0.8601,0.24919,0.96957,0.005248,0.005248,0.005248
50,168996,0.91406,0.34406,1.00937,0.99944,0.99973,0.99492,0.80345,0.85992,0.2491,0.96997,0.005149,0.005149,0.005149
51,182241,0.91362,0.34221,1.00969,0.99948,0.99973,0.99495,0.80339,0.85974,0.24902,0.97077,0.00505,0.00505,0.00505
52,184891,0.91431,0.3418,1.00606,0.99944,0.99976,0.99494,0.80405,0.85927,0.24876,0.97057,0.004951,0.004951,0.004951
53,186803,0.91124,0.34016,0.99967,0.99945,0.99976,0.99495,0.80382,0.85893,0.24822,0.969,0.004852,0.004852,0.004852
54,188727,0.91227,0.34088,1.00696,0.99948,0.99976,0.99493,0.80361,0.85897,0.248,0.96904,0.004753,0.004753,0.004753
55,190664,0.9102,0.34003,1.00988,0.99951,0.99976,0.99492,0.80374,0.85857,0.24796,0.96933,0.004654,0.004654,0.004654
56,228113,0.91104,0.33848,0.99972,0.99953,0.99976,0.99492,0.80385,0.85818,0.24756,0.9673,0.004555,0.004555,0.004555
57,229886,0.90932,0.33854,1.00619,0.99955,0.9998,0.99492,0.80431,0.85785,0.2473,0.96738,0.004456,0.004456,0.004456
58,231683,0.90929,0.34108,1.0142,0.99951,0.99978,0.99491,0.8042,0.85758,0.24733,0.96877,0.004357,0.004357,0.004357
59,233480,0.90867,0.33841,1.00665,0.99951,0.9998,0.99491,0.80411,0.85749,0.24744,0.96992,0.004258,0.004258,0.004258
60,235260,0.90883,0.33583,1.00034,0.99951,0.99979,0.99493,0.80425,0.85687,0.24698,0.96853,0.004159,0.004159,0.004159
61,237040,0.90766,0.33468,1.00046,0.99953,0.9998,0.99494,0.80479,0.85616,0.24651,0.96749,0.00406,0.00406,0.00406
62,239456,0.9048,0.33238,0.99478,0.99956,0.99978,0.99494,0.80488,0.85574,0.2459,0.96522,0.003961,0.003961,0.003961
63,241972,0.90345,0.33209,0.99773,0.99956,0.99978,0.99492,0.80492,0.85545,0.24546,0.96429,0.003862,0.003862,0.003862
64,244276,0.90491,0.33319,1.00142,0.99956,0.99979,0.99494,0.80501,0.85488,0.24519,0.96371,0.003763,0.003763,0.003763
65,246122,0.90344,0.33242,0.99576,0.99958,0.9998,0.99495,0.80546,0.85439,0.24499,0.96235,0.003664,0.003664,0.003664
66,249173,0.90199,0.33117,0.99592,0.99959,0.9998,0.99495,0.8056,0.85392,0.24481,0.96134,0.003565,0.003565,0.003565
67,252285,0.90114,0.3296,0.99902,0.99959,0.9998,0.99495,0.80591,0.85371,0.24452,0.96127,0.003466,0.003466,0.003466
68,254258,0.90029,0.33109,1.00432,0.99963,0.99978,0.99496,0.80572,0.85372,0.24468,0.96214,0.003367,0.003367,0.003367
69,256247,0.9007,0.32947,0.99926,0.99963,0.99978,0.99495,0.80604,0.85341,0.24452,0.96155,0.003268,0.003268,0.003268
70,259226,0.89833,0.32653,0.99298,0.99964,0.99978,0.99494,0.80632,0.85278,0.24425,0.96017,0.003169,0.003169,0.003169
71,261820,0.89866,0.32653,1.0016,0.99958,0.99978,0.99494,0.80638,0.85223,0.24402,0.96044,0.00307,0.00307,0.00307
72,264010,0.89704,0.32462,0.99548,0.99956,0.99978,0.99494,0.80661,0.85175,0.24376,0.95994,0.002971,0.002971,0.002971
73,265849,0.89632,0.32489,1.00677,0.9996,0.99975,0.99494,0.80668,0.85147,0.24353,0.96153,0.002872,0.002872,0.002872
74,267691,0.8964,0.3235,0.99738,0.99962,0.99975,0.99494,0.80702,0.851,0.24318,0.96132,0.002773,0.002773,0.002773
75,269521,0.8945,0.32472,1.00323,0.99956,0.99976,0.99493,0.80712,0.85058,0.24301,0.96101,0.002674,0.002674,0.002674
76,282226,0.896,0.3217,0.9978,0.99953,0.99976,0.99493,0.80745,0.85008,0.24268,0.96083,0.002575,0.002575,0.002575
77,284633,0.89269,0.32112,0.99406,0.99955,0.99976,0.99492,0.8074,0.84975,0.24256,0.96068,0.002476,0.002476,0.002476
78,287099,0.89278,0.32262,1.0106,0.99954,0.99976,0.99494,0.80763,0.84964,0.24259,0.96339,0.002377,0.002377,0.002377
79,289567,0.89197,0.32111,1.00561,0.99954,0.99976,0.99494,0.80798,0.84941,0.24273,0.96523,0.002278,0.002278,0.002278
80,292089,0.89045,0.31892,1.00538,0.99955,0.99976,0.99494,0.80806,0.8491,0.24283,0.96676,0.002179,0.002179,0.002179
81,294626,0.88785,0.31696,0.99544,0.99956,0.99977,0.99494,0.80803,0.84857,0.24249,0.96592,0.00208,0.00208,0.00208
82,297117,0.88577,0.31514,0.99834,0.99955,0.99976,0.99494,0.80833,0.84834,0.24233,0.96569,0.001981,0.001981,0.001981
83,299592,0.8856,0.31584,1.00391,0.99957,0.99976,0.99494,0.80828,0.84813,0.24225,0.9665,0.001882,0.001882,0.001882
84,302074,0.8847,0.31548,1.00768,0.9996,0.99978,0.99495,0.80858,0.84779,0.24216,0.96828,0.001783,0.001783,0.001783
85,304530,0.88421,0.31141,0.99577,0.99959,0.9998,0.99495,0.80867,0.84743,0.24179,0.96728,0.001684,0.001684,0.001684
86,307029,0.881,0.30962,0.98943,0.99964,0.9998,0.99495,0.80886,0.84696,0.24115,0.96516,0.001585,0.001585,0.001585
87,309513,0.88043,0.30753,0.98728,0.99964,0.9998,0.99494,0.80914,0.84651,0.24057,0.96331,0.001486,0.001486,0.001486
88,314536,0.87987,0.30592,0.98862,0.99964,0.9998,0.99494,0.8092,0.84597,0.23996,0.9619,0.001387,0.001387,0.001387
89,316930,0.87754,0.30495,0.99166,0.99964,0.9998,0.99494,0.80981,0.84556,0.2395,0.96101,0.001288,0.001288,0.001288
90,319437,0.87818,0.30516,1.00167,0.99964,0.9998,0.99492,0.80943,0.84504,0.23931,0.96207,0.001189,0.001189,0.001189
91,322358,0.867,0.27645,0.99675,0.99963,0.9998,0.99494,0.80964,0.84451,0.23916,0.9636,0.00109,0.00109,0.00109
92,326620,0.86458,0.27406,0.9954,0.99969,0.9998,0.99494,0.81014,0.84409,0.23929,0.96471,0.000991,0.000991,0.000991
93,329025,0.86263,0.27266,0.99448,0.99972,0.9998,0.99493,0.81035,0.84376,0.23934,0.9652,0.000892,0.000892,0.000892
94,331506,0.86049,0.27132,0.98814,0.99971,0.9998,0.99492,0.81043,0.84373,0.23949,0.96446,0.000793,0.000793,0.000793
95,334060,0.85881,0.2687,0.996,0.9997,0.99978,0.99492,0.81042,0.84394,0.23986,0.96551,0.000694,0.000694,0.000694
96,337812,0.85564,0.26465,0.99182,0.99966,0.99976,0.9949,0.81045,0.84397,0.23985,0.96614,0.000595,0.000595,0.000595
97,341556,0.85413,0.2625,0.99364,0.99967,0.99979,0.9949,0.81058,0.84374,0.23989,0.96713,0.000496,0.000496,0.000496
98,345035,0.85106,0.25829,0.98887,0.99969,0.99977,0.99489,0.81075,0.84349,0.23984,0.9673,0.000397,0.000397,0.000397
99,348517,0.84878,0.25513,0.98581,0.99969,0.99976,0.99493,0.81081,0.8431,0.23968,0.96671,0.000298,0.000298,0.000298
100,351011,0.84659,0.25251,0.9864,0.99971,0.99978,0.99494,0.81095,0.84275,0.23988,0.96659,0.000199,0.000199,0.000199
