epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19089.8,0.74917,0.35917,0.95021,0.99502,0.99907,0.99465,0.85402,0.69156,0.2806,0.9119,0.0011882,0.0011882,0.0011882
43,19543.5,0.74407,0.35786,0.9401,0.99722,0.99902,0.99475,0.85704,0.68456,0.2699,0.91084,0.0011684,0.0011684,0.0011684
44,19997.1,0.72738,0.3487,0.9333,0.99722,0.999,0.99465,0.85969,0.687,0.27152,0.91162,0.0011486,0.0011486,0.0011486
45,20450.5,0.74209,0.35412,0.94192,0.99704,0.99814,0.9945,0.85553,0.68986,0.27272,0.91164,0.0011288,0.0011288,0.0011288
46,20904.8,0.74085,0.34778,0.94479,0.99796,0.99814,0.99443,0.85965,0.68633,0.26925,0.90941,0.001109,0.001109,0.001109
47,21358.9,0.73833,0.34608,0.9409,0.99706,0.99814,0.99487,0.85928,0.68954,0.27501,0.90951,0.0010892,0.0010892,0.0010892
48,21812.9,0.74231,0.34484,0.94093,0.99814,0.99787,0.9943,0.86038,0.68423,0.26804,0.90793,0.0010694,0.0010694,0.0010694
49,22266.8,0.74007,0.34317,0.94203,0.99774,0.99907,0.99438,0.86017,0.67776,0.26124,0.9075,0.0010496,0.0010496,0.0010496
50,22720.3,0.72493,0.3407,0.93432,0.9981,0.99907,0.99466,0.86057,0.68525,0.26328,0.90616,0.0010298,0.0010298,0.0010298
51,23174.3,0.73151,0.34355,0.94174,0.9967,0.99814,0.99447,0.85808,0.68421,0.26037,0.9078,0.00101,0.00101,0.00101
52,23629,0.72635,0.34184,0.93661,0.99788,0.99814,0.99474,0.85994,0.68297,0.2636,0.90576,0.0009902,0.0009902,0.0009902
53,24083.2,0.71933,0.33496,0.93472,0.99714,0.99907,0.9945,0.86043,0.6864,0.2627,0.90736,0.0009704,0.0009704,0.0009704
54,24536.7,0.72067,0.3333,0.93147,0.99695,0.99814,0.99456,0.86013,0.68463,0.25909,0.90734,0.0009506,0.0009506,0.0009506
55,24991.7,0.72627,0.33953,0.93835,0.99792,0.99907,0.99428,0.86193,0.67597,0.26148,0.9035,0.0009308,0.0009308,0.0009308
56,25445.6,0.71853,0.32921,0.93135,0.99701,0.99907,0.99436,0.86213,0.67778,0.25826,0.90571,0.000911,0.000911,0.000911
57,25900.2,0.72419,0.33348,0.94231,0.99691,0.99907,0.99426,0.86323,0.6768,0.25295,0.90399,0.0008912,0.0008912,0.0008912
58,26354,0.71499,0.32601,0.92867,0.99713,0.99907,0.99416,0.86505,0.6757,0.25241,0.90465,0.0008714,0.0008714,0.0008714
59,26809,0.72231,0.33344,0.94044,0.99806,0.99907,0.99454,0.86316,0.67627,0.25134,0.90321,0.0008516,0.0008516,0.0008516
60,27264,0.71602,0.32974,0.9318,0.99615,0.99907,0.99424,0.86137,0.67237,0.25165,0.90349,0.0008318,0.0008318,0.0008318
61,27719.8,0.71879,0.32992,0.93198,0.99679,0.99907,0.99378,0.85964,0.67942,0.255,0.90305,0.000812,0.000812,0.000812
62,28176,0.71084,0.32747,0.932,0.99708,0.99907,0.99392,0.8671,0.67441,0.25287,0.90308,0.0007922,0.0007922,0.0007922
63,28631,0.70736,0.32229,0.92614,0.99619,0.99907,0.99418,0.86538,0.67212,0.24774,0.90418,0.0007724,0.0007724,0.0007724
64,29086,0.70054,0.31691,0.9274,0.998,0.99907,0.99447,0.86675,0.66678,0.24582,0.90014,0.0007526,0.0007526,0.0007526
65,29541.5,0.70341,0.31646,0.92816,0.99629,0.99814,0.99433,0.86528,0.67222,0.24963,0.90385,0.0007328,0.0007328,0.0007328
66,29996.3,0.70761,0.32044,0.93042,0.99814,0.99892,0.99448,0.86633,0.67095,0.24961,0.90145,0.000713,0.000713,0.000713
67,30451.5,0.70033,0.31674,0.9232,0.99808,0.99907,0.99425,0.86538,0.67176,0.24698,0.90071,0.0006932,0.0006932,0.0006932
68,30906.6,0.6995,0.31093,0.92123,0.9963,0.99885,0.99449,0.86588,0.66863,0.24409,0.90018,0.0006734,0.0006734,0.0006734
69,31361.8,0.70217,0.31833,0.92869,0.99666,0.99907,0.99435,0.86489,0.66767,0.24356,0.90094,0.0006536,0.0006536,0.0006536
70,31816.8,0.68794,0.31162,0.92257,0.99814,0.99894,0.99461,0.86568,0.66978,0.24401,0.90097,0.0006338,0.0006338,0.0006338
71,32272.6,0.69108,0.31185,0.92049,0.99782,0.99907,0.99446,0.86704,0.67107,0.24294,0.90162,0.000614,0.000614,0.000614
72,32727,0.68875,0.30753,0.92035,0.99713,0.99907,0.99436,0.86535,0.67405,0.24189,0.90257,0.0005942,0.0005942,0.0005942
73,33181.7,0.69062,0.30801,0.91939,0.99716,0.99907,0.99414,0.86638,0.66914,0.24071,0.8991,0.0005744,0.0005744,0.0005744
74,33636.7,0.68747,0.31093,0.92587,0.99814,0.99898,0.99431,0.86693,0.66554,0.24119,0.8985,0.0005546,0.0005546,0.0005546
75,34091.9,0.69493,0.30964,0.92542,0.99814,0.99907,0.99433,0.86606,0.66506,0.23806,0.89884,0.0005348,0.0005348,0.0005348
76,34546.3,0.6941,0.31155,0.92517,0.99814,0.99906,0.99443,0.8671,0.66411,0.23973,0.8984,0.000515,0.000515,0.000515
77,35001.9,0.68837,0.30399,0.92312,0.99807,0.99907,0.99429,0.86845,0.66861,0.23908,0.90112,0.0004952,0.0004952,0.0004952
78,35456.8,0.68043,0.29722,0.9187,0.99808,0.99907,0.9943,0.86577,0.66605,0.23861,0.89977,0.0004754,0.0004754,0.0004754
79,35910.9,0.69472,0.30322,0.9233,0.99807,0.99907,0.99437,0.86782,0.66586,0.23857,0.89892,0.0004556,0.0004556,0.0004556
80,36365.6,0.68739,0.30171,0.91678,0.99807,0.99907,0.99425,0.86834,0.66474,0.23943,0.89898,0.0004358,0.0004358,0.0004358
81,36820.5,0.68054,0.29618,0.9211,0.99805,0.99907,0.99434,0.86937,0.66261,0.23575,0.89721,0.000416,0.000416,0.000416
82,37274.9,0.68241,0.29432,0.91896,0.99806,0.99907,0.99453,0.87072,0.66314,0.23526,0.89594,0.0003962,0.0003962,0.0003962
83,37730.1,0.6743,0.29652,0.92304,0.99808,0.99907,0.99424,0.86808,0.66308,0.23288,0.89668,0.0003764,0.0003764,0.0003764
84,38187.7,0.66702,0.29534,0.91223,0.99808,0.99907,0.99423,0.86653,0.6645,0.23579,0.89667,0.0003566,0.0003566,0.0003566
85,38644.7,0.67701,0.29459,0.91771,0.99797,0.99907,0.99424,0.8672,0.6645,0.23213,0.89739,0.0003368,0.0003368,0.0003368
86,39105.5,0.67032,0.29148,0.91283,0.9981,0.99907,0.99416,0.86918,0.66068,0.23216,0.89553,0.000317,0.000317,0.000317
87,39545.8,0.66819,0.28921,0.91265,0.99811,0.99907,0.99435,0.86824,0.65873,0.22973,0.89531,0.0002972,0.0002972,0.0002972
88,39985.8,0.66599,0.28594,0.91565,0.99772,0.99907,0.99425,0.86734,0.65859,0.22938,0.89511,0.0002774,0.0002774,0.0002774
89,40427,0.66809,0.28785,0.91239,0.99706,0.99907,0.99432,0.86877,0.65705,0.22888,0.89553,0.0002576,0.0002576,0.0002576
90,40865.7,0.67385,0.28413,0.9142,0.99722,0.99907,0.99427,0.86928,0.65846,0.22932,0.89642,0.0002378,0.0002378,0.0002378
91,41298.1,0.6426,0.2469,0.89667,0.99722,0.99809,0.99477,0.86815,0.66074,0.23317,0.89644,0.000218,0.000218,0.000218
92,41727.6,0.63937,0.24553,0.8976,0.99722,0.99901,0.99484,0.87005,0.6582,0.22986,0.89469,0.0001982,0.0001982,0.0001982
93,42160,0.63805,0.24343,0.89819,0.99779,0.99814,0.99485,0.8701,0.66019,0.23015,0.89622,0.0001784,0.0001784,0.0001784
94,42592.5,0.64001,0.24401,0.8934,0.99722,0.99901,0.99469,0.8703,0.66188,0.2317,0.89572,0.0001586,0.0001586,0.0001586
95,43023.4,0.63506,0.2408,0.89684,0.99805,0.99907,0.99451,0.86993,0.66116,0.23021,0.89551,0.0001388,0.0001388,0.0001388
96,43452.3,0.63265,0.23911,0.89365,0.99722,0.99906,0.9944,0.8701,0.66017,0.22976,0.8951,0.000119,0.000119,0.000119
97,43882.4,0.62789,0.23964,0.89027,0.99722,0.99899,0.99447,0.87043,0.6601,0.22973,0.89518,9.92e-05,9.92e-05,9.92e-05
98,44312,0.62967,0.23679,0.89499,0.99814,0.99812,0.99443,0.86987,0.66067,0.22958,0.89532,7.94e-05,7.94e-05,7.94e-05
99,44745.3,0.62888,0.23491,0.89062,0.99814,0.99897,0.99439,0.86997,0.65961,0.22842,0.89482,5.96e-05,5.96e-05,5.96e-05
100,45175.5,0.6287,0.23443,0.89114,0.99814,0.99896,0.99442,0.87031,0.65899,0.2281,0.89444,3.98e-05,3.98e-05,3.98e-05
